tweet_id,favorites,retweets,user_followers,user_favourites,date_time
680221482581123072,1491,298,8333966,143197,2015-12-25 03:00:14+00:00
680206703334408192,2899,1203,8333966,143197,2015-12-25 02:01:30+00:00
680191257256136705,2191,511,8334621,143198,2015-12-25 01:00:07+00:00
680176173301628928,3980,1594,8333966,143197,2015-12-25 00:00:11+00:00
680161097740095489,2372,754,8333966,143197,2015-12-24 23:00:17+00:00
680145970311643136,3689,1784,8333966,143197,2015-12-24 22:00:10+00:00
680130881361686529,2336,970,8333966,143197,2015-12-24 21:00:12+00:00
680115823365742593,2774,926,8333966,143197,2015-12-24 20:00:22+00:00
680100725817409536,3653,1411,8333966,143197,2015-12-24 19:00:23+00:00
680085611152338944,13077,9180,8333966,143197,2015-12-24 18:00:19+00:00
680070545539371008,2640,900,8333966,143197,2015-12-24 17:00:27+00:00
679877062409191424,2011,667,8333966,143197,2015-12-24 04:11:37+00:00
679872969355714560,2225,679,8333966,143197,2015-12-24 03:55:21+00:00
679862121895714818,2503,640,8333966,143197,2015-12-24 03:12:15+00:00
679854723806179328,2918,1259,8333966,143197,2015-12-24 02:42:51+00:00
679844490799091713,2418,781,8334621,143198,2015-12-24 02:02:12+00:00
679828447187857408,37039,14339,8333966,143197,2015-12-24 00:58:27+00:00
679777920601223168,3150,1134,8333966,143197,2015-12-23 21:37:40+00:00
679736210798047232,2132,814,8333966,143197,2015-12-23 18:51:56+00:00
679729593985699840,2204,847,8333966,143197,2015-12-23 18:25:38+00:00
679722016581222400,1688,476,8333966,143197,2015-12-23 17:55:32+00:00
679530280114372609,4872,2131,8333966,143197,2015-12-23 05:13:38+00:00
679527802031484928,2694,737,8333966,143197,2015-12-23 05:03:47+00:00
679511351870550016,3437,1294,8333966,143197,2015-12-23 03:58:25+00:00
679503373272485890,3213,1506,8333966,143197,2015-12-23 03:26:43+00:00
679475951516934144,2129,654,8333966,143197,2015-12-23 01:37:45+00:00
679462823135686656,32350,19270,8333966,143197,2015-12-23 00:45:35+00:00
679405845277462528,2418,1230,8333966,143197,2015-12-22 20:59:10+00:00
679158373988876288,21808,8224,8333966,143197,2015-12-22 04:35:49+00:00
679148763231985668,2829,1051,8333966,143197,2015-12-22 03:57:37+00:00
679132435750195208,3019,1184,8333966,143197,2015-12-22 02:52:45+00:00
679111216690831360,6086,2617,8333966,143197,2015-12-22 01:28:25+00:00
679062614270468097,17342,8325,8333966,143197,2015-12-21 22:15:18+00:00
679047485189439488,2287,686,8333967,143197,2015-12-21 21:15:11+00:00
679001094530465792,2884,1254,8333967,143197,2015-12-21 18:10:50+00:00
678991772295516161,2354,1194,8333967,143197,2015-12-21 17:33:48+00:00
678969228704284672,1677,472,8333967,143197,2015-12-21 16:04:13+00:00
678800283649069056,2625,924,8333967,143197,2015-12-21 04:52:53+00:00
678798276842360832,3512,1194,8333967,143197,2015-12-21 04:44:55+00:00
678774928607469569,2854,930,8333967,143197,2015-12-21 03:12:08+00:00
678767140346941444,3604,1388,8333967,143197,2015-12-21 02:41:11+00:00
